id,white_rating,black_rating,diff,winner,victory_status,num_moves,moves
sKKXMG0E,2060,1546,514,black,mate,40,e4 f5 e5 d6 exd6 cxd6 Nc3 Nf6 d4 e6 Bd3 e5 dxe5 dxe5 Bg5 Be7 Qe2 e4 Bb5+ Nc6 Bxc6+ bxc6 f3 O-O Bd2 Be6 fxe4 fxe4 Nxe4 Nxe4 Qxe4 Bd5 Qg4 Re8 O-O-O Qd6 Nf3 Bxa2 b3 Qa3#
KYPdQv8e,978,1500,522,white,mate,53,d4 f5 e3 Nf6 Nc3 d5 Bb5+ c6 Bd3 b5 Qf3 Qa5 Bxf5 Nbd7 Bxd7+ Bxd7 a3 Bg4 Qf4 h5 b4 Qb6 h3 Be6 Nf3 c5 bxc5 Qa5 Bb2 Rb8 Qxb8+ Kd7 Qb7+ Kd8 Qa8+ Bc8 c6 Qc7 Nxb5 Qxc6 Qxc6 Ne4 Qc7+ Ke8 Qxc8+ Kf7 Ne5+ Kf6 Nc7 e6 Qxe6+ Kg5 h4#
rqcPeu3M,1295,1821,526,white,mate,25,e4 e5 Nf3 Nc6 d3 Bb4+ c3 Bc5 Ng5 Nf6 Be2 O-O d4 exd4 cxd4 Bxd4 Qc2 d6 O-O Bg4 Bxg4 Nxg4 e5 dxe5 Qxh7#
VYayBOPY,1293,2123,830,white,mate,89,e4 e5 Nf3 Nc6 Bc4 Bc5 a3 a5 c3 Qe7 d4 exd4 cxd4 Qxe4+ Be3 d5 Nc3 Qg6 Bd3 Qxg2 Rg1 Qh3 Bf1 Qe6 dxc5 Nf6 Rxg7 h6 Qd2 Qf5 Rg3 Be6 Nd4 Qe5 f4 Qh5 f5 Bd7 Nxc6 Bxc6 Bd4 Qh4 O-O-O O-O-O Rh3 Qg5 Qxg5 hxg5 Bxf6 Rxh3 Bxd8 Rxc3+ bxc3 Kxd8 f6 Ke8 Re1+ Kd8 Re7 Be8 Bg2 d4 cxd4 b6 cxb6 cxb6 Kd2 b5 Kc3 g4 Bd5 b4+ axb4 a4 Bxf7 Bxf7 Rxf7 Ke8 Re7+ Kd8 Kb2 g3 hxg3 a3+ Kxa3 Kc8 f7 Kd8 f8=Q#
Lput0yVc,1500,2154,654,white,mate,35,d4 Nf6 Nf3 e6 e3 c5 Be2 Nc6 O-O Qc7 c4 cxd4 exd4 d5 Nc3 dxc4 Bxc4 a6 d5 Nb4 dxe6 Qxc4 exf7+ Qxf7 Ng5 Qc7 Re1+ Be7 Qb3 Rf8 Qxb4 Bf5 Bf4 Qc6 Qxe7#
6dzSqqDm,1002,1534,532,white,mate,13,e4 e5 Bc4 Nc6 Qf3 f6 Qh5+ g6 Qf3 Nge7 Qxf6 Rg8 Qf7#
2guqueuz,856,1541,685,white,mate,57,d3 d5 e4 e5 c4 dxc4 dxc4 Bb4+ Bd2 Bxd2+ Nxd2 Qd4 Ndf3 Qxb2 a4 Bg4 Nxe5 Bxd1 Rxd1 Qxe5 Bd3 Qc3+ Kf1 Nc6 Be2 Nd4 Rxd4 Qxd4 Nf3 Qa1+ Ne1 O-O-O g3 Nf6 Kg2 Nxe4 f3 Nd2 Nd3 Qxa4 Nc5 Qxc4 Bxc4 Nxc4 Ne4 f5 Nc5 Rd2+ Kh3 g5 Ra1 h5 Rxa7 g4+ Kh4 Ne5 Ra8#
RDEhRYEf,1508,2203,695,white,mate,41,d4 d5 c4 c6 Nf3 Nf6 cxd5 cxd5 Nc3 Nc6 Bf4 Bf5 e3 Qb6 Bd3 Qxb2 O-O Bg4 Nb5 Kd7 Rb1 Qxa2 Nc3 Qa5 Rxb7+ Kd8 Bc7+ Qxc7 Rxc7 Kxc7 Qa4 Bxf3 Bb5 Nd8 Qa5+ Kc8 Rc1 a6 Nxd5+ Kb8 Qc7#
bl1lsXgi,1321,1826,505,white,mate,83,Nc3 d5 d4 Nf6 Nf3 Bf5 Bf4 e6 Qd2 Bb4 Bg5 h6 Bxf6 Qxf6 Ne5 O-O g4 Be4 f3 Bh7 a3 Bd6 Bg2 Bxe5 dxe5 Qxe5 f4 Qd6 e4 d4 e5 Qb6 Na4 Qa6 Qb4 Nc6 Bxc6 bxc6 Nc5 Qc8 Qxd4 Rd8 Qb4 Rd5 O-O Bxc2 Rfc1 Bd3 Rd1 Be2 Rxd5 exd5 Re1 Qxg4+ Kf2 Qf3+ Kg1 Qe3+ Kg2 Bf3+ Kg3 Bh5+ Rxe3 g6 Kf2 g5 fxg5 hxg5 Rh3 Kh7 Rxh5+ Kg6 Rh3 Re8 Nd3 Kf5 Rf3+ Kg6 Qg4 c5 Qf5+ Kh5 Rh3#
tRdHQh42,1440,1968,528,white,mate,57,e4 c5 Nc3 Nc6 Nf3 d6 d4 cxd4 Nxd4 Nxd4 Qxd4 Nf6 Nd5 e5 Qc4 Nxd5 Qxd5 Be7 Bb5+ Bd7 Bc4 O-O Qxb7 Rb8 Qxa7 Qc8 Ba6 Qxc2 Qxd7 Qxe4+ Be3 Bh4 O-O Rxb2 f3 Qxe3+ Kh1 Qh6 Rfd1 Bg3 h3 Rb6 Bc4 Qf4 Qc7 Bf2 a4 Qg3 a5 Rb2 Rdb1 Bb6 Qxf7+ Rxf7 Rxb2 Bd4 Rb8#
